issue,title,primary finding,validator comment,status,root cause (URL),size,robotLabel
findings-23,JUMP and JUMPI fail when the offset is invalid but still within the currently created contract bytecode length,findings-44,dup of findings-44,Satisfactory,"https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/evm.cairo#L277,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/evm.cairo#L364",210,:robot:_65_group
findings-9,Missing enforcment of valid `r` range in `ecrecover`,findings-13,dup of findings-13,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/signature.cairo#L10-L35,218,:robot:_67_group
validation-114,"During transaction signature verification, the chain id is not verified to be empty",validation-114,chain id forgry,Satisfactory,"https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/eth_rpc.cairo#L250,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/accounts/library.cairo#L171",225,:robot:_primary
findings-6,Selfdestructing to itself during creation transaction doesn't burn tokens like on Ethereum,findings-6,"It's indeed a difference with geth, but on starknet there is no equivalent way to burn native token",Satisfactory,"https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/instructions/system_operations.cairo#L788,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/backend/starknet.cairo#L195",230,:robot:_13_group
findings-19,Opcodes consuming a lot of steps at the cost of few gas can be exploited,findings-19,It's good to adjust some OPcode's gas to make it tuned for starknet steps cost,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L50,235,:robot:_primary
findings-44,Jump in creation code leads to reverting of the starknet transaction,findings-44,Zero address used as coder address while creating new contract,Satisfactory,"https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/evm.cairo#L277,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/evm.cairo#L364",237,:robot:_primary
findings-13,Three valid signatures for the same message,findings-13,"Valid but QA at most, as signatures are not used for checking unique of message",Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/utils/signature.cairo#L10-L35,244,:robot:_primary
findings-11,Handling leftover balances during selfdestruct differs from Ethereum,findings-6,dup of findings-6,Satisfactory,"https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/instructions/system_operations.cairo#L788,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/backend/starknet.cairo#L195",255,:robot:_13_group
findings-20,Gas charged after computation for precompiles may lead to running out of steps,validation-239,dup of validation-239,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L79-L100,256,:robot:_primary
findings-21,`RIPEMD160` fails if `(length of calldata) % 64` is in the range of 55 to 63,findings-21,Incorrect processing of edge case,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/precompiles/ripemd160.cairo#L477,285,:robot:_primary
findings-8,"Unauthorized calls to Cairo precompiles cause system panic, providing attack opportunities",findings-8,Difference with geth,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/interpreter.cairo#L1008,349,:robot:_14_group
findings-10,Incorrect state for accounts without code and nonce,findings-10,Edge case of code hash is not been commited,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/backend/starknet.cairo#L203,388,:robot:_primary
findings-4,Incorrect calculation in `Gas::max_memory_expansion_cost` for high offset zero size argument,findings-4,the edge case of size=0 is not processed correctly,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/gas.cairo#L140,485,:robot:_primary
findings-18,Loading whole bytecode in memory can lead to running out of steps even using limited gas,findings-18,A specific case of findings-19,Satisfactory,https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/accounts/library.cairo#L486,646,:robot:_20_group
validation-185,Origin and extra precompiles are not warmed up when preparing a transaction,,They are warmed at L915-920 of interpreter.cairo,Unsatisfactory,,18,:robot:_primary
validation-48, Lack of Access Control on deploy Function,,"Access Control on deploy is not essential, as attackers without the private key can not send any transaction from these deployed account contracts",Unsatisfactory,,19,
validation-162,Authorized pre eip155 txs will revert ,,"After RLP decode of pre EIP155 tx, tx.chain_id.is_some == FALSE, the revert would not be triggered",Unsatisfactory,,20,:robot:_primary
validation-36,Using uninitialized variables. Uninitialized variables can lead to unpredictable behavior of the program or execution errors.,,Insufficient quality,Unsatisfactory,,20,
validation-276,Overflow in Cairo's PRIME Field could result in incorrect outputs that violate the function’s assumptions.,,Insufficient quality,Unsatisfactory,,22,:robot:_primary
validation-186,Nonce is not set properly during create transaction if initcode exceeds max size ,,"The equivalent initcode check of Ethereum is at https://github.com/ethereum/go-ethereum/blob/65e5ca7d8126f7a8c708f8affb64f16c22cc63c0/core/vm/gas_table.go#L318, which is before increasing nonce. Actually, the report is related to returncode length check, which is at https://github.com/kkrt-labs/kakarot/blob/7411a5520e8a00be6f5243a50c160e66ad285563/src/kakarot/instructions/system_operations.cairo#L1280",Unsatisfactory,,22,:robot:_59_group
validation-177,Incorrect gas accounting in create function causes excess gas to be refunded ,,OOS per the contest README: EVM Gas not being equivalent to Starknet opcode pricing,Unsatisfactory,,22,:robot:_72_group
validation-160,Interpreter does not charge gas if the max code size is exceeded ,,OOS per the contest README: EVM Gas not being equivalent to Starknet opcode pricing,Unsatisfactory,,22,:robot:_30_group
validation-274,"Out-of-Range div Value might result in incorrect calculations or potential data corruption, depending on Cairo’s error-handling.",,Insufficient quality,Unsatisfactory,,23,:robot:_79_group
validation-248,"Denial of Service via Access List Parsing can lead to system downtime, inability to process legitimate transactions",,Access List gas are charged to protect this type of attack,Unsatisfactory,,25,:robot:_146_group
validation-220,Reverted txs in root ctx do not give refunds ,,OOS per the contest README: EVM Gas not being equivalent to Starknet opcode pricing,Unsatisfactory,,25,:robot:_primary
validation-208,"Unchecked Inputs and Malformed Data can lead to Crashes, DoS, or incorrect execution",,Insufficient proof,Unsatisfactory,,25,:robot:_primary
validation-58,Incorrect Function Name,,Invalid proof,Unsatisfactory,,25,:robot:_primary
validation-10,Missing Input Validation on tx_type,,Insufficient proof,Unsatisfactory,,25,:robot:_11_group
findings-60,Prevrandao opcode does not follow the Ethereum spec,,"As design, Prevrandao is set by offchain with set_prev_randao()",Unsatisfactory,,25,:robot:_primary
validation-268,"Throughout the codebase, kakarot instructions deals with uint128 offset values, but geth deals with uint64 values.",,No specific attack path or vulnerability provided,Unsatisfactory,,26,:robot:_primary
validation-263,"Division by Zero could result in a runtime failure or revert the transaction, leading to potential denial-of-service scenarios.",,No specific case when the caller would pass div with zero,Unsatisfactory,,26,:robot:_primary
validation-257, Duplicate `Event` Definitions,,Invalid,Unsatisfactory,,26,:robot:_primary
validation-247,Replay Attacks Across Networks can lead to potential fund loss,,The design that EIP-155 txn need to be authorised is used to protect this type of attack,Unsatisfactory,,26,:robot:_primary
validation-50,Inconsistency in storage updates due to cached keys,,Invalid proof,Unsatisfactory,,26,
validation-206,Missing Fallback for staticcallCairo which can cause the transaction to fail unexpectedly without clear error handling. ,,Invalid proof,Unsatisfactory,,27,:robot:_primary
validation-279,Incompatibility with Smart Contract Account Signatures in Kakarot,,Design choice rather than an issue,Unsatisfactory,,28,:robot:_primary
validation-251,"Reentrancy Attacks causing state locking, check-effects-interactions pattern",,Insufficient proof,Unsatisfactory,,28,:robot:_primary
validation-205,"Unrestricted delegatecall that can lead to complete loss of control over the calling contract's state, leading to significant financial and functional damage",,Insufficient proof,Unsatisfactory,,28,:robot:_primary
validation-137,Potential Infinite Recursion Leading to Gas Exhaustion in Recursive Functions,,Insufficient proof,Unsatisfactory,,28,:robot:_primary
validation-26,Inadequate Error Handling in RLP Decoding Functions,,Insufficient proof,Unsatisfactory,,28,
validation-249,Potential Uninitialized Pointer Usage in `dict_values` Function,,No specific case when the issue would be triggered,Unsatisfactory,,29,:robot:_primary
validation-204,Lack of input validation that could lead to unwanted state changes or security vulnerabilities,,Insufficient proof,Unsatisfactory,,29,:robot:_18_group
validation-250,Incorrect Assertion on `range_check_ptr` in `decode_type_unsafe` Function,,Insufficient proof,Unsatisfactory,,30,:robot:_primary
validation-246,Memory Overwrite in ` felt_to_ascii`  due to Uninitialized Memory Allocation,,Insufficient proof,Unsatisfactory,,30,:robot:_primary
validation-203,Reentrancy leading to drainage of user funds or operation disruption,,Invalid proof,Unsatisfactory,,30,:robot:_primary
validation-80,Incorrect Stack Initialization Due to Duplicate Pointer Assignment,,Invalid proof,Unsatisfactory,,30,:robot:_primary
validation-61,Lack of Error Handling in delegatecallCairo Usage,,Error Handling is in delegatecallCairo function,Unsatisfactory,,30,:robot:_18_group
validation-55,Lack of Ethereum Address Validation in exec_balance Function,,Insufficient proof,Unsatisfactory,,30,
validation-194,Potential overflow in the function is_account_alive(),,"No realistic case the overflow would be triggered, as nonce, codelength and balance can not be so large",Unsatisfactory,,31,:robot:_primary
validation-108,Lack of a two-step process for ownership transfer,,"Design choice, not an issue",Unsatisfactory,,31,:robot:_104_group
validation-11,Missing Null Pointer Check for tx_data,,Insufficient proof,Unsatisfactory,,31,:robot:_11_group
validation-255,"Integer Overflow/Underflow can lead to loss of funds, resource exhaustion, incorrect transaction processing",,Insufficient proof,Unsatisfactory,,32,:robot:_primary
validation-130,Bypassing `assert_only_self`: Delegate Call Vulnerability and Reentrancy Risks in accounts/library.cairo Contracts,,"1. While in delegateCall, it's correct to assert with caller address rather than code address; 2. Calls to kakarot EVM are initiated from account contracts, so the caller would not 0.",Unsatisfactory,,32,:robot:_primary
validation-83,Missing Allowance Check in transferFrom Functions,,"Allowance check is not essential here, if balance is not enough, the call would revert evnetually",Unsatisfactory,,32,:robot:_37_group
validation-256,Vulnerability in Out of Gas Error Handling for Memory Operations,,Insufficient proof,Unsatisfactory,,35,:robot:_primary
validation-159,Underflow in SSTORE gas refund calculation lets users perform calls for free,,This prerequisite of current evm.gas_refund < 5000 will not be triggered,Unsatisfactory,,36,:robot:_primary
validation-70,Unchecked Return Value from fetch_balance Leading to Uninitialized Pointer Dereference,,Insufficient proof,Unsatisfactory,,36,:robot:_primary
validation-56,Incorrect Dereferencing of Pointer in _transfer_eth Function,,Insufficient proof,Unsatisfactory,,36,:robot:_106_group
validation-25,Unbounded Recursion in func decode_raw,,encoded data length is limited,Unsatisfactory,,37,
validation-169,Unchecked Return Value from dict_write in Multiple Locations,,Starknet's gas(step) cost would protect this type of attack,Unsatisfactory,,38,:robot:_primary
validation-19,Lack of Range Check for Division Operation in unsigned_div_rem(Arithmetic Overflow),,Insufficient proof,Unsatisfactory,,38,
validation-222,Potential Issues and Recommendations for First Element in `get_constructor_calldata` in Cairo Contracts,,Insufficient proof,Unsatisfactory,,39,:robot:_primary
validation-165,Inadequate Authorization in set_balance,,It's a inner function,Unsatisfactory,,40,:robot:_primary
validation-164,Unchecked selfdestruct Flag in selfdestruct Function,,It's a inner function,Unsatisfactory,,40,:robot:_16_group
validation-18,Unchecked Memory Access,,Invalid proof,Unsatisfactory,,41,:robot:_52_group
validation-171,Potential for Inconsistent Account Storage Initialization,,"Not essential, as if ans these initialization fail, the whole starknet txn would revert",Unsatisfactory,,42,:robot:_primary
validation-51,Potential Inconsistency in Code Hash Updates,,Insufficient proof,Unsatisfactory,,42,
validation-234,Lack of Replay Protection in L2 to L1 Communication Enables Message Duplication,,"Replay is not possible, as a message can only be consumed once on L1",Unsatisfactory,,43,:robot:_primary
validation-170,Missing Resource Constraints in fetch_or_create Function,,Insufficient proof,Unsatisfactory,,44,:robot:_primary
validation-104,Lack of Access Control in write_storage Function,,These are internal functions,Unsatisfactory,,44,:robot:_primary
validation-5,Lack of `{range_check_ptr}` Range Checking in the `increment_program_counter` Function of EVM Cairo Contracts,,No specific case or attck path provided on when and how this issue would be triggered,Unsatisfactory,,46,
validation-254,Inconsistent nonce handling leads to EVM equivalence issue.,,"If revert, the nonce increased on L1024; otherwise it was already increased on L959",Unsatisfactory,,48,:robot:_59_group
validation-253, Incorrect Carry Handling in `Addition ` and ` Subtraction `  Functions,,The current implementation is correct,Unsatisfactory,,48,:robot:_primary
validation-174,Ownership Takeover Due to Lack of Input Validation in transfer_ownership,,The Ownable.transfer_ownership() function has owner check  itself,Unsatisfactory,,48,:robot:_104_group
validation-146,Missing return values in IERC20.transferFrom.,,"Here it only transfers for native token, the return check is not essential",Unsatisfactory,,50,:robot:_primary
validation-141,Event length is not sufficiently validated when committing the message,,"It will not cause panic, while the emited data is long than 300, it is correctly truncated as design",Unsatisfactory,,50,:robot:_primary
validation-139,execute_starknet_call does not check if the system is paused,,"It is not essential, as the execute_starknet_call() need to be triggered by kakarot contract",Unsatisfactory,,50,:robot:_62_group
validation-78,Incorrect Array Initialization/Out-of-Bounds Memory Access Due to Pointer Reassignment and Memory Initialization,,Insufficient proof,Unsatisfactory,,50,:robot:_primary
findings-53,Malicious EVM contracts can trigger RPC-level crashes by reverting after calling DualVmToken,,The existing caller whitelist for cairo precomile calls is the reasonable design to  migrate this risk,Unsatisfactory,,54,:robot:_23_group
findings-27,Loops make CairoVM run out of steps,,It's Kakarot Relayers' responsibility to defend this type of attack by such as simulating txn before submission,Unsatisfactory,,54,:robot:_primary
validation-199,Unchecked Return Values in ERC20 and External Function Calls Could Lead to Loss of Funds and Functionality,,Insufficient proof,Unsatisfactory,,55,:robot:_primary
validation-140,execute_starknet_call allows arbitrary code execution ,,"Only the account contract self can initiate a call to this function, it's ensured by Kakarot core EVM",Unsatisfactory,,55,:robot:_62_group
validation-272,"push_uint128 does not check that element is actually < 2^128, leading to data corruption",,"No specific case provided, a check on the codebase, there is no realistic case an invalid parameter would be passed in",Unsatisfactory,,57,:robot:_primary
validation-168,Insufficient Verification in fetch_or_create,,The code size is limited while contract creation,Unsatisfactory,,57,:robot:_89_group
validation-4,Out-of-Bounds Read in Bytecode Parsing Logic,,The attack would be avoided by the check on L938-339,Unsatisfactory,,57,:robot:_27_group
findings-58,p256verify precompile charges new account access gas,,OOS per the contest README: EVM Gas not being equivalent to Starknet opcode pricing,Unsatisfactory,,57,:robot:_35_group
validation-166,Absence of Reentrancy Guard in write_storage,,"inner function, not essential",Unsatisfactory,,59,:robot:_26_group
validation-151,Unverified Keccak Hash Usage in Ethereum Address Recovery May Lead to Incorrect Address Derivation,,invalid proof,Unsatisfactory,,59,:robot:_primary
validation-136,Underconstrained `execute_from_outside` Leading to Arbitrary Transaction Manipulation,,"The parsed tx_data is signed,  and the signature is checked in Account.execute_from_outside(). Though a malicious relayer might input some addtional data, but it can not change users' original intent.",Unsatisfactory,,59,:robot:_primary
validation-198,Lack of Input Validation in eth_send_raw_unsigned_tx Leading to Potential Overflow and Malleability Attacks,,Insufficient proof,Unsatisfactory,,60,:robot:_primary
validation-184,Performance Degradation Risk Due to Inefficient Memory Finalization in finalize Function,,Insufficient proof,Unsatisfactory,,60,:robot:_primary
validation-23,Potential Gas Miscalculation in `compute_message_call_gas` Function Could Lead to Insufficient Gas Allocation and Security Risks,,"No realistic case the max_allowed/gas_left would bigger than 2^128, the current implementation is safe",Unsatisfactory,,60,:robot:_04_group
validation-167,Lack of Input Validation in compute_code_hash,,"It's an inner function, the check is not essential",Unsatisfactory,,61,:robot:_10_group
findings-16,address(0) is not initially warmed up,,OOS per the contest README: EVM Gas not being equivalent to Starknet opcode pricing,Unsatisfactory,,61,:robot:_primary
validation-270,High-Risk Vulnerabilities in Kakarot: Reentrancy Issues .,,These functions works as intended,Unsatisfactory,,63,:robot:_29_group
findings-28,"base fee updates implementation deviates from EIP-1559, causing fee change mid-block",,OOS per the contest README: EVM Gas not being equivalent to Starknet opcode pricing,Unsatisfactory,,66,:robot:_primary
validation-147,Users can transfer ownership of the contract due to missing access control.,,The Ownable.transfer_ownership() function has owner check  itself,Unsatisfactory,,68,:robot:_primary
validation-149,Insufficient Input Validation in ec_recover Precompile Allows Malformed Input,,Insufficient quality,Unsatisfactory,,69,:robot:_80_group
validation-31,Division by Zero and Range Validation Vulnerability in unsigned_div_rem Function,,"In the audited codebase, there is no realistic case that other functions would call unsigned_div_rem() with div == 0. And if a malicious prover trys to make div == 0 by replacing hints, it just has local affect with no valid proving data produced.",Unsatisfactory,,69,:robot:_54_group
findings-33,DualVMToken::approve/transfer will always revert when trying to approve amount greater than type(uint128).max due to vulnerable implementation,,explicitly converting uint256 to uint128 would not cause overflow panic,Unsatisfactory,,69,:robot:_primary
validation-175,Front-Running Vulnerability in Account Registration,,"Frontrun attack is meaningless here, as the binding relationship between EVM address and Starknet address is fixed, thougn Alice can deploy a account contract by using Bob EVM address, but the owner of deployed account contract will always be Bob, not Alice.",Unsatisfactory,,70,:robot:_primary
validation-172,Reentrancy Attack Vulnerability,,"Not actual Reentrancy Attack avalaible, no call out existed in these cases",Unsatisfactory,,70,:robot:_26_group
validation-228,Overflow when calculating memory_expansion_cost via calculate_gas_extend_memory due to error in memory_cost function,,"The first item of the kakarot formula is not correct, which should be (x - x%512)^2/512. The current kakarot implementation is equivalent to EVM",Unsatisfactory,,71,:robot:_primary
validation-181,Incorrect Handling of Signed Integer Conversion in `pow()` Function Can Lead to Panics,,"In the PoC, the panic looks like triggered by positive_signed.try_into().unwrap() rather than the assert on the following line",Unsatisfactory,,71,:robot:_primary
validation-68,DualVmToken.sol Constructor does not Validate Starknet Compatible Addresses (DoS of ERC20 Deployment),,Admins or deployers could be trusted to pass valid constuctor parameters,Unsatisfactory,,71,:robot:_97_group
validation-183,Data Integrity Risks Due to Misaligned Memory Access in Store and Load Functions,,"EVM memory is abstract of a big bytes array, it should be able to store or load at any byte level address. The current",Unsatisfactory,,72,:robot:_primary
validation-179,Unchecked Offset in Memory Store and Load Functions Leads to Out-of-Bounds Memory Access,,Insufficient quality,Unsatisfactory,,72,:robot:_52_group
validation-49,Event Emission Limit in _emit_events,,"Design choice, not an issue",Unsatisfactory,,73,
validation-86,"The function processes messages from Layer 1 without sufficient validation, creating a potential vulnerability where an attacker could send malformed or malicious messages.",,the correctness of data sent to l1 handler is ensured by starknet OS,Unsatisfactory,,74,:robot:_44_group
validation-218,The function `ICairo1Helpers::library_call_keccak()` is not implemented.,,Implemented as cairo 1 contracts,Unsatisfactory,,75,:robot:_primary
validation-102,Reentrancy Vulnerability in Functions Modifying Account State,,Inner function,Unsatisfactory,,75,:robot:_26_group
validation-97,BlockInformation.selfbalance without calculating gas fee,,"SELFBALANCE has only const gas, which is charged in  execute_opcode()",Unsatisfactory,,75,:robot:_primary
validation-277,"""Denial of Service (DoS) Vulnerabilities in `saturated_sub`, `initialize_jumpdests`, and `try_parse_destination_from_bytes` due to Unchecked Return Values, Improper Input Validation, and Potential Infinite Loops""",,invalid proof,Unsatisfactory,,76,:robot:_primary
validation-182,Lack of Public Key Validation for secp256r1 Coordinates,,"The current implemention complys with geth, the builtin precompile ensures the r and s are valid, otherwise it returns a zero address",Unsatisfactory,,76,:robot:_primary
findings-12,Kakarot's handling of EOA validation differs from EIP-3607 requirement,,"The kakarom implementation do comply with newst geth implementation, please refer https://github.com/ethereum/go-ethereum/blob/80bdab757dfb0f6d73fb869d834979536fe474e5/core/vm/evm.go#L475-L477, and actually zero codeLength and empty code hash is same thing.",Unsatisfactory,,77,:robot:_primary
validation-116,_emit_events does not record the evm contract from which the event was issued,,L255 of evm.cairo,Unsatisfactory,,78,:robot:_primary
validation-148,Pointer Misuse in StarkNet Account Commit Function Can Lead to Memory Errors and Vulnerabilities,,the new model.Address() operation returns a pointer,Unsatisfactory,,79,:robot:_primary
validation-156, `saturated_sub` would return wrong data in some instances,,"is_nn() is used to make sure some value is in range  [0, 2^128) or not, and the use of saturated_sub() has only one occurrence, which is Helpers.saturated_sub(evm.message.env.block_number, 256), as the block_number will never realisticly above 2^128, the current usage of aturated_sub() is secure.",Unsatisfactory,,80,:robot:_primary
findings-31,Nonce will be set incorrectly due to implementation error,,"The nonce should be increased both revert or not, and it has increased on L956 if no revertion occurs",Unsatisfactory,,81,:robot:_primary
validation-196,ecrecover precompile can never be called,,"ecrecover is implemented in cairo 0 version ec_recover.cairo, and then cairo 1's recover_eth_address(), not through cairo 1 helper's exec_precompile() interface.",Unsatisfactory,,83,:robot:_primary
validation-243,Unauthorized Transaction Execution Due to Missing Account Contract Validation,,Kakarot.safe_get_evm_address() at L204 of eth_send_transaction() would enforce the correct caller,Unsatisfactory,,85,:robot:_primary
validation-95,Potential Misuse of replace_class in Upgrade Function Poses Security Risks,,Admins are trusted to call with corret parameters,Unsatisfactory,,85,:robot:_primary
validation-12,Incorrectly Skipped Memory Writes in RETURNDATACOPY,,Its not realistic that the returndata_offset would be larger than 2^128 due memory expansion cost,Unsatisfactory,,86,
findings-41,"If evm reverted, user might avoid paying any EVM gas due to vulnerable fee implementation in interpreter::execute",,"The statement on PoC step 6 is not correct, sender's balance is recovered from storage due to empty state after revert on L1021-1023",Unsatisfactory,,86,:robot:_primary
validation-158,SHA-256 precompile's price would be inefficient post EIP 7667,,"EIP7667 is still in Draft status, not suitable to include it at this stage",Unsatisfactory,,88,:robot:_primary
validation-101,Lack of Validation on Kakarot_uninitialized_account_class_hash in Starknet Deploy Function,,Admins are trusted to set valid essencial  data,Unsatisfactory,,88,:robot:_12_group
validation-135,Reentrancy Risk in eth_send_transaction and eth_call Leading to Potential Fund Draining and State Manipulation,,No specific attack path provided,Unsatisfactory,,89,:robot:_26_group
validation-197, Valid transactions like those to create contracts would always fail,,"While to address is null(length==0), current implement returns option.is_some=0, it's correct.",Unsatisfactory,,90,:robot:_primary
validation-190,`decode_1559()` does not work for transactions with fee market,,"Relayers should have splited the data and signature, refer account_contrac.execute_from_outside()",Unsatisfactory,,96,:robot:_primary
validation-123,Redeployment to the same address is impossible using `CREATE2` in the `exec_create` instruction.,,It's standard implementation since EIP 6780,Unsatisfactory,,96,:robot:_primary
validation-73,L1KakarotMessaging.sol does not Validate Starknet Compatible Address on Constructor,,Admins are trusted to provide valid parameters,Unsatisfactory,,98,:robot:_97_group
validation-252,Nonce Increment Inconsistency in Contract Creation Against Geth,,"(1)The equivalent initcode check of Ethereum is at https://github.com/ethereum/go-ethereum/blob/65e5ca7d8126f7a8c708f8affb64f16c22cc63c0/core/vm/gas_table.go#L318, which is also before increasing nonce; (2) Nonce is incremented in collision case for both geth and kakarot. Hence, in the two cases by the report, kakarot is equivalent to geth.",Unsatisfactory,,99,:robot:_primary
validation-155, `decode_2930()` does not work,,"Relayers should have splited the data and signature, refer account_contrac.execute_from_outside()",Unsatisfactory,,99,:robot:_56_group
validation-131,Inefficient Byte Encoding in L1KakarotMessaging Causes Excessive Gas Costs and Message Size,,It's the specification requirement of starknet cross chain protocol,Unsatisfactory,,100,:robot:_19_group
validation-258,Inconsistent gas refund logic comparing to geth implementation,,OOS per the contest README: EVM Gas not being equivalent to Starknet opcode pricing,Unsatisfactory,,102,:robot:_primary
validation-74,msg.value stuck and unused in L1 to L2 message pipeline,,"The msg.value is used to pay for cross chain fee, not for cross chain fund bridge",Unsatisfactory,,105,:robot:_09_group
validation-189,ECADD/ECMUL's implementation deviates from Ethereum's VM,,OOS per the contest README: EVM Gas not being equivalent to Starknet opcode pricing,Unsatisfactory,,110,:robot:_primary
validation-76,Critical Impact of Implementation in DualVmToken.sol's Approve Function,,"Starknet address can not call these two solidity contract approves, but call starknet version of approve and emit event on starknet OS directly",Unsatisfactory,,113,:robot:_97_group
validation-60,Underconstrained `words: Span<u8>` in `load_word` function from helpers.cairo,,"It's an inner function, it's ok to assume callers call with valid parameters ",Unsatisfactory,,114,
validation-153,Improper Input Validation in 2024-09-kakarot/kakarot-ssj/crates/contracts/src/uninitialized_account.cairo,,This file is out of  scope,Unsatisfactory,,117,:robot:_10_group
validation-127,Token transfer fails in case native token address changed.,,"The chance of native token address change is very rare, and even if it did happen, account contract and kakarot contract could be upgraded to tune with the change.",Unsatisfactory,,117,:robot:_60_group
validation-278,Underflow in charge_gas() could lead to a transaction being executed indefinitely,,"There is no realistic case the issue can be triggered, as the gas amout to subtract will not be such as a so big or negative value.",Unsatisfactory,,120,:robot:_primary
validation-229,Missing Contract Existence Checks Lead to Silent Failures in L1-L2 Communication,,precompile contracts always exist,Unsatisfactory,,121,:robot:_primary
validation-132,Flawed Byte-to-uint256 Conversion in L1KakarotMessaging Enables Cross-Layer Message Spoofing,,"The decoing of L1KakarotMessaging.consumeMessageFromL2() is matched with 
the encoding of L2KakarotMessaging.sendMessageToL1(), there is no issue here.",Unsatisfactory,,121,:robot:_primary
validation-180,Out of Bounds Read in 2024-09-kakarot/kakarot/src/kakarot/errors.cairo,,"Invalid PoC, the cairo zero not work like C",Unsatisfactory,,125,:robot:_primary
validation-77,"Issues with Address Conversion and Validation in DualVmToken.sol Contract lead to Failure in `transferFrom`, `balanceOf` and `allowance`Function",,"when a EVM address is converted into a StarkNet address, it is ensured to be little than STARKNET_FIELD_PRIME",Unsatisfactory,,128,:robot:_primary
validation-215,No overflow prevention in `interpreter::execute()` leading to attacker bypassing execution gas cost,,"calldata_gas will not realisticlly overflow, as the calulation is based on felt 252. large enough.",Unsatisfactory,,129,:robot:_32_group
validation-103,Critical Vulnerability in Owner-Controlled `prevRandao` Risks Consensus Integrity and Security,,"It's current design choice, not an issue",Unsatisfactory,,132,:robot:_98_group
validation-63,No checks for token allowance in `transferFrom` could result in user's tokens being stolen.,,The starknetToken contract would trigger rever while allowance is not enough,Unsatisfactory,,132,:robot:_primary
validation-178,Out of Bounds Write in src/utils/array.cairo,,No specific issue case provided,Unsatisfactory,,145,:robot:_51_group
validation-154,Integer Overflow in 2024-09-kakarot/kakarot-ssj/crates/contracts/src/account_contract.cairo,,this file is out of scope,Unsatisfactory,,146,:robot:_43_group
validation-122,`selfdestruct` function state modification is incorrect,,"After EIP6780, the geth doesn't clear code, the kakarot's implementation is same with it.",Unsatisfactory,,149,:robot:_primary
validation-235,Message Duplication and State Inconsistency During StarkNet Reorgs,,"No trusted source provided that the starknet OS would bridge a same L1 to L2 message multiple times on the same branch, and bridge a message to diffrent branchs would not cause issue, the short temperary branch would be reverted.",Unsatisfactory,,158,:robot:_primary
validation-271," `execute_from_outside()`  does not check if an account has been initialized, allowing an attacker to impersonate transactions from the Ethereum zero address on Kakarot.",,signatrue verification would fail if not initialized,Unsatisfactory,,160,:robot:_primary
validation-14,Consistency Issues in Error Definitions within errors.cairo Contract,,Not essential,Unsatisfactory,,164,
validation-152,Integer overflow in eth_rpc.cairo in 2024-09-kakarot/kakarot-ssj/crates/contracts/src/kakarot_core/eth_rpc.cairo,,The file is out of scope,Unsatisfactory,,166,:robot:_43_group
validation-209,`handle_l1_message` may fail to execute,,initialize function would be called indirectly during Account.deploy(),Unsatisfactory,,168,:robot:_primary
validation-82,`ECADD` Gas Cost Logic not correct with EVM Specification (kakarot-ssj) ,,OOS per the contest README: EVM Gas not being equivalent to Starknet opcode pricing,Unsatisfactory,,171,:robot:_90_group
validation-81,`ECMUL` Gas Cost Logic not correct with EVM Specification (kakarot-ssj),,OOS per the contest README: EVM Gas not being equivalent to Starknet opcode pricing,Unsatisfactory,,180,:robot:_90_group
